Iteracja	 x_srodek	 Blad_bezwzgledny
1	 1.25000000	 0.36500004
2	 0.62500000	 0.25999996
3	 0.93750000	 0.05250004
4	 0.93750000	 0.05250004
5	 0.85937500	 0.02562496
6	 0.89843750	 0.01343754
7	 0.87890625	 0.00609371
8	 0.88867188	 0.00367191
9	 0.88378906	 0.00121090
10	 0.88378906	 0.00121090
11	 0.88500977	 0.00000981
12	 0.88500977	 0.00000981
13	 0.88500977	 0.00000981
14	 0.88500977	 0.00000981
15	 0.88500977	 0.00000981
16	 0.88500977	 0.00000981
17	 0.88499069	 0.00000927
18	 0.88500023	 0.00000027
19	 0.88500023	 0.00000027
20	 0.88500023	 0.00000027
21	 0.88500023	 0.00000027
22	 0.88500023	 0.00000027
